3401010,3401,TEMON
3401020,3401,WATES
3401030,3401,PANJATAN
3401040,3401,GALUR
3401050,3401,LENDAH
3401060,3401,SENTOLO
3401070,3401,PENGASIH
3401080,3401,KOKAP
3401090,3401,GIRIMULYO
3401100,3401,NANGGULAN
3401110,3401,KALIBAWANG
3401120,3401,SAMIGALUH
3402010,3402,SRANDAKAN
3402020,3402,SANDEN
3402030,3402,KRETEK
3402040,3402,PUNDONG
3402050,3402,BAMBANG LIPURO
3402060,3402,PANDAK
3402070,3402,BANTUL
3402080,3402,JETIS
3402090,3402,IMOGIRI
3402100,3402,DLINGO
3402110,3402,PLERET
3402120,3402,PIYUNGAN
3402130,3402,BANGUNTAPAN
3402140,3402,SEWON
3402150,3402,KASIHAN
3402160,3402,PAJANGAN
3402170,3402,SEDAYU
3403010,3403,PANGGANG
3403011,3403,PURWOSARI
3403020,3403,PALIYAN
3403030,3403,SAPTO SARI
3403040,3403,TEPUS
3403041,3403,TANJUNGSARI
3403050,3403,RONGKOP
3403051,3403,GIRISUBO
3403060,3403,SEMANU
3403070,3403,PONJONG
3403080,3403,KARANGMOJO
3403090,3403,WONOSARI
3403100,3403,PLAYEN
3403110,3403,PATUK
3403120,3403,GEDANG SARI
3403130,3403,NGLIPAR
3403140,3403,NGAWEN
3403150,3403,SEMIN
3404010,3404,MOYUDAN
3404020,3404,MINGGIR
3404030,3404,SEYEGAN
3404040,3404,GODEAN
3404050,3404,GAMPING
3404060,3404,MLATI
3404070,3404,DEPOK
3404080,3404,BERBAH
3404090,3404,PRAMBANAN
3404100,3404,KALASAN
3404110,3404,NGEMPLAK
3404120,3404,NGAGLIK
3404130,3404,SLEMAN
3404140,3404,TEMPEL
3404150,3404,TURI
3404160,3404,PAKEM
3404170,3404,CANGKRINGAN
3471010,3471,MANTRIJERON
3471020,3471,KRATON
3471030,3471,MERGANGSAN
3471040,3471,UMBULHARJO
3471050,3471,KOTAGEDE
3471060,3471,GONDOKUSUMAN
3471070,3471,DANUREJAN
3471080,3471,PAKUALAMAN
3471090,3471,GONDOMANAN
3471100,3471,NGAMPILAN
3471110,3471,WIROBRAJAN
3471120,3471,GEDONG TENGEN
3471130,3471,JETIS
3471140,3471,TEGALREJO
